,Base,Us
Korea_grip,0.665801809566111,0.44967043663962275
Dutch_drinking_inh,0.6530322172334991,0.3951430158946777
Dutch_drinking_wm,0.7274183305132494,0.606784113951326
Dutch_drinking_sha,0.692849325516323,0.42640455111501907
Brazil_health_heart,0.8070922179270443,0.038566391474318146
Brazil_health_stroke,1.9185640522476377,0.06044270045814404
China_glucose_women2,0.7640068557288631,0.5120591742531355
China_glucose_men2,0.8676906077176629,0.920209372554849
Spain_Hair,0.8971416332341647,0.7875698618611585
China_HIV,0.8556117969921999,0.7199684885774713
